QuestionID,Question,Answer
Q1,hello,Hi!
Q2,hello,Hi.
Q3,hello,Hello.
Q4,hi,Hey there.
Q5,hi,Hey!
Q6,how are you?,I am doing well. I hope you are too!
Q7,how are you?,I am as great as you could be!
Q8,how are you doing today?,I am doing amazing!
Q9,how are you doing today?,It couldn't be better!
Q10,hey,Hello!
Q11,hey,Hello there friend.
Q12,what's up,Nothing much!
Q13,what's up,The sky!
Q14,whats up,Nothing at the moment!
Q15,good day,Good day to you too.
Q16,good day,It sure is!
Q17,good morning,Good morning!
Q18,good morning,Off to a fresh start are we.
Q19,good afternoon,Good afternoon!
Q20,good afternoon,Good afternoon. I've got a few bits for lunch.
Q21,good evening,Good evening! Hope your day went well.
Q22,good evening,Good evening!
Q23,good night,Good night!
Q24,good night,Good night and sweet dreams!
Q25,its a pleasure to meet you,You too.
Q26,its a pleasure to meet you, The pleasure is mine!
Q27,its nice to meet you,You too.
Q28,its nice to meet you,Nice to meet you too.
Q29,howdy,Howdy!
Q30,howdy,Howdy partner!
Q31,what's your name?,I am ChatBot.
Q32,what's your name?,My name is ChatBot.
Q33,what are you up to?,I am awaiting your querys.
Q34,what are you up to?,Computing every possible reality in bit form. Just kidding!
Q35,hows it going?,It going pretty well!
Q36,hows it going?,It is going perfectly!
Q37,hows your day been?,My day has gotten alot better now!
Q38,hows your day been?,It has been incredible thanks for asking!
